abstract-quality;['व्यक्तित्व', 'व्यक्तित्त्व'];व्यवहार के समस्त गुणों का नाम ही व्यक्तित्व है-वुडवर्ड
agentive-physical-object;['पंकलंघी', 'मडस्किप्पर', 'mudskipper', 'mudskippers', 'mudspringer'];मछलियों का उपपरिवार
agentive-physical-object;['ऊद', 'ऊदबिलाव', 'लुत्रिनाइ', 'लूट्रिनाए', 'otters'];स्तनधारियों के उपपरिवार
agentive-physical-object;['नागराज', 'किंग कोबरा', 'naja हन्ना', 'ophiophagus हन्ना', 'हन्ना'];Sala
agentive-physical-object;['बाघ', 'नाहर', 'केहर', 'बबर', 'व्याघ्र', 'शेर', 'पैंथेरा टाइगरिस', 'टाइगर', 'शरों', 'panthera tigris', 'tigris'];स्तनपायी प्रजातियों की प्रजातियां
agentive-physical-object;['भूरा भालू', 'भूरा रीछ', 'भूरे भालू', 'arctos', 'उर्सुस arctos', 'जंगली भालू'];भूरा भालू जिनकी नस्लें यूरोप तथा एशिया और उत्तरी अमेरिका में पाए जाते हैं।
agentive-physical-object;['नीम', 'margosa', 'arishth', 'melia azadirachta', 'nim पेड़', 'नीम के पेड़'];महोगनी परिवार मेलियासी का एक सदस्य
agentive-physical-object;['लीमर', 'बंदर', 'लीमरोइडेआ'];स्तनधारियों की सुपरफामिली
agentive-physical-object;['नीली व्हेल', 'blue whale', 'balaenoptera musculus', 'बालाइनोप्टेरा मस्कुलस', 'सल्फर नीचे'];Blue whale
agentive-physical-object;['अमेरिकी झींगा मछली', 'homarus americanus'];जलीय की प्रजातियों
agentive-physical-object;['मूँगा', 'प्रवाल', 'कोरल', 'मूंगा'];एक नन्हा समुद्री जीव
agentive-physical-object;['गैंडा', 'गैण्डा', 'खड्ग', 'खड्गधेनु', 'भारतीय गैंडा', 'गेंडा', 'गैंडे', 'गेंडे', 'rhinocerotidae', 'rhinocerous', 'गैंडा सींग', 'राइनो'];स्तनधारियो का परिवार
agentive-physical-object;['एडीज एजिप्टी', 'एडीज aegypti', 'पीला बुखार मच्छर'];मच्छरों की एक प्रजाति
agentive-physical-object;['टमाटर', 'lycopersicon esculentum', 'tomatoe', 'टमाटर के पौधे', 'प्यार का सेर', 'रक्तवृतांक्त'];फल, एक सब्जी के रूप में उपयोग किया जाता है
agentive-physical-object;['ओलिव रिडले कछुआ', 'ओलिव रिडले', 'lepidochelys olivacea', 'olivacea', 'ओलिव रिडले कछुए', 'ओलिव रिडले कछुओं', 'ओलिव रिडले समुद्री कछुए', 'प्रशांत रिडले'];दुनिया की सर्वाधिक संकटग्रस्त प्रजाति में से एक
agentive-physical-object;['जीवक'];बहुविकल्पी पृष्ठ
agentive-physical-object;['मजीठ', 'रुबिया कॉर्डिफ़ोलिया', 'rubia cordifolia', 'मंजिष्ठा', 'munjeet', 'मजीत'];पौधे की प्रजातियं
agentive-physical-object;['हरा प्याज', 'गंदना', 'allium porrum', 'leek', 'लीक'];प्याज के प्रकार की एक वनस्पति
